date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:56	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Dec%202022%2008:26:56%20GMT	https://web3.agency/robots.txt		(from )
09:26:56	23043/23043	---MCZ	200	added ('OK')	text/html	etag:W/%225a03-5ab56c747ceca%22	https://web3.agency/	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/index.html	(from )
09:26:57	102426/102426	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225f1d6d74-1901a%22	https://web3.agency/favicon/favicon.ico	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/favicon/favicon.ico	(from https://web3.agency/)
09:26:57	3581/3581	---MCZ	200	added ('OK')	text/css	etag:W/%225f1d6d72-dfd%22	https://web3.agency/app/css/fullpage.css	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fullpage.css	(from https://web3.agency/)
09:26:57	28453/28453	---MCZ	200	added ('OK')	text/css	etag:W/%225f1d6d72-6f25%22	https://web3.agency/app/css/style.css	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/style.css	(from https://web3.agency/)
09:26:57	10968/10968	---MCZ	200	added ('OK')	text/html	etag:W/%225f1d6d72-2ad8%22	https://web3.agency/about.html	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/about.html	(from https://web3.agency/)
09:26:57	4353/4353	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-1101%22	https://web3.agency/app/img/logo_web3.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/logo_web3.svg	(from https://web3.agency/)
09:26:58	224/224	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Dec%202022%2008:26:58%20GMT	https://web3.agency/app/images/logo--promo.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/images/logo--promo.svg	(from https://web3.agency/)
09:26:58	7832/7832	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-1e98%22	https://web3.agency/app/img/about/we_are_decentralization.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/about/we_are_decentralization.svg	(from https://web3.agency/)
09:26:58	12463/12463	---MCZ	200	added ('OK')	text/html	etag:W/%225f1d6d72-30af%22	https://web3.agency/tge-support.html	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/tge-support.html	(from https://web3.agency/)
09:26:58	12621/12621	---MCZ	200	added ('OK')	text/html	etag:W/%225f1d6d72-314d%22	https://web3.agency/digital-support.html	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/digital-support.html	(from https://web3.agency/)
09:26:59	12508/12508	---MCZ	200	added ('OK')	text/html	etag:W/%225f1d6d72-30dc%22	https://web3.agency/community-support.html	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/community-support.html	(from https://web3.agency/)
09:26:59	11907/11907	---MCZ	200	added ('OK')	text/html	etag:W/%225f1d6d72-2e83%22	https://web3.agency/seo-services.html	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/seo-services.html	(from https://web3.agency/)
09:26:59	12759/12759	---MCZ	200	added ('OK')	text/html	etag:W/%225f1d6d72-31d7%22	https://web3.agency/pr.html	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/pr.html	(from https://web3.agency/)
09:26:59	12626/12626	---MCZ	200	added ('OK')	text/html	etag:W/%225f1d6d72-3152%22	https://web3.agency/digital-strategy.html	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/digital-strategy.html	(from https://web3.agency/)
09:26:59	12132/12132	---MCZ	200	added ('OK')	text/html	etag:W/%225f1d6d72-2f64%22	https://web3.agency/paid-promotion.html	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/paid-promotion.html	(from https://web3.agency/)
09:27:00	11829/11829	---MCZ	200	added ('OK')	text/html	etag:W/%225f1d6d72-2e35%22	https://web3.agency/product-development.html	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/product-development.html	(from https://web3.agency/)
09:27:00	3145/3145	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-c49%22	https://web3.agency/app/img/our_values.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/our_values.svg	(from https://web3.agency/)
09:27:00	22519/22519	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-57f7%22	https://web3.agency/app/img/sprites/clients-sprite.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/sprites/clients-sprite.svg	(from https://web3.agency/)
09:27:00	14490/14490	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-389a%22	https://web3.agency/app/img/sprites/partners-sprite.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/sprites/partners-sprite.svg	(from https://web3.agency/)
09:27:01	1633/1633	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-661%22	https://web3.agency/app/img/footer/car1.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/footer/car1.svg	(from https://web3.agency/)
09:27:01	1614/1614	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-64e%22	https://web3.agency/app/img/footer/car2.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/footer/car2.svg	(from https://web3.agency/)
09:27:02	63157/63157	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f1d6d72-f6b5%22	https://web3.agency/app/js/fullpage.js	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/js/fullpage.js	(from https://web3.agency/)
09:27:03	30983/30983	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffd-7907%22	https://cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.8.8/min/tiny-slider.js	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.8.8/min/tiny-slider.js	(from https://web3.agency/)
09:27:03	4800/4800	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f1d6d72-12c0%22	https://web3.agency/app/js/main.js	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/js/main.js	(from https://web3.agency/)
09:27:03	14584/14584	---MCZ	200	added ('OK')	font/woff2	etag:W/%225f1d6d73-38f8%22	https://web3.agency/app/css/fonts/roboto-v15-latin-regular.woff2	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/roboto-v15-latin-regular.woff2	(from https://web3.agency/app/css/style.css)
09:27:04	18520/18520	---MCZ	200	added ('OK')	font/woff	etag:W/%225f1d6d73-4858%22	https://web3.agency/app/css/fonts/roboto-v15-latin-regular.woff	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/roboto-v15-latin-regular.woff	(from https://web3.agency/app/css/style.css)
09:27:04	14552/14552	---MCZ	200	added ('OK')	font/woff2	etag:W/%225f1d6d73-38d8%22	https://web3.agency/app/css/fonts/roboto-v15-latin-700.woff2	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/roboto-v15-latin-700.woff2	(from https://web3.agency/app/css/style.css)
09:27:04	18568/18568	---MCZ	200	added ('OK')	font/woff	etag:W/%225f1d6d73-4888%22	https://web3.agency/app/css/fonts/roboto-v15-latin-700.woff	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/roboto-v15-latin-700.woff	(from https://web3.agency/app/css/style.css)
09:27:05	16992/16992	---MCZ	200	added ('OK')	font/woff2	etag:W/%225f1d6d73-4260%22	https://web3.agency/app/css/fonts/roboto-condensed-v16-latin-italic.woff2	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/roboto-condensed-v16-latin-italic.woff2	(from https://web3.agency/app/css/style.css)
09:27:05	21584/21584	---MCZ	200	added ('OK')	font/woff	etag:W/%225f1d6d73-5450%22	https://web3.agency/app/css/fonts/roboto-condensed-v16-latin-italic.woff	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/roboto-condensed-v16-latin-italic.woff	(from https://web3.agency/app/css/style.css)
09:27:05	16684/16684	---MCZ	200	added ('OK')	font/woff2	etag:W/%225f1d6d73-412c%22	https://web3.agency/app/css/fonts/roboto-condensed-v16-latin-700italic.woff2	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/roboto-condensed-v16-latin-700italic.woff2	(from https://web3.agency/app/css/style.css)
09:27:06	21276/21276	---MCZ	200	added ('OK')	font/woff	etag:W/%225f1d6d73-531c%22	https://web3.agency/app/css/fonts/roboto-condensed-v16-latin-700italic.woff	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/roboto-condensed-v16-latin-700italic.woff	(from https://web3.agency/app/css/style.css)
09:27:06	3916/3916	---MCZ	200	added ('OK')	font/woff2	etag:W/%225f1d6d73-f4c%22	https://web3.agency/app/css/fonts/web3agency.woff2	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/web3agency.woff2	(from https://web3.agency/app/css/style.css)
09:27:06	5312/5312	---MCZ	200	added ('OK')	font/woff	etag:W/%225f1d6d73-14c0%22	https://web3.agency/app/css/fonts/web3agency.woff	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/css/fonts/web3agency.woff	(from https://web3.agency/app/css/style.css)
09:27:06	8531/8531	---MCZ	200	added ('OK')	image/png	etag:W/%225f1d6d73-2153%22	https://web3.agency/app/img/pattern.png	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/pattern.png	(from https://web3.agency/app/css/style.css)
09:27:06	1069/1069	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-42d%22	https://web3.agency/app/img/gradient-hex.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/gradient-hex.svg	(from https://web3.agency/app/css/style.css)
09:27:07	39424/39424	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-9a00%22	https://web3.agency/app/img/footer_city.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/footer_city.svg	(from https://web3.agency/app/css/style.css)
09:27:07	28979/28979	---MCZ	200	added ('OK')	image/png	etag:W/%225f1d6d73-7133%22	https://web3.agency/app/img/carousel-item.png	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/carousel-item.png	(from https://web3.agency/app/css/style.css)
09:27:07	8473/8473	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-2119%22	https://web3.agency/app/img/earth_illustration.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/earth_illustration.svg	(from https://web3.agency/about.html)
09:27:07	2092/2092	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffd-82c%22	https://cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.8.8/tiny-slider.css	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.8.8/tiny-slider.css	(from https://web3.agency/tge-support.html)
09:27:08	6089/6089	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-17c9%22	https://web3.agency/app/img/services/ICO-TGE_Support.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/services/ICO-TGE_Support.svg	(from https://web3.agency/tge-support.html)
09:27:08	3843/3843	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d74-f03%22	https://web3.agency/app/img/services/Digital_Support.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/services/Digital_Support.svg	(from https://web3.agency/digital-support.html)
09:27:08	3186/3186	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-c72%22	https://web3.agency/app/img/services/Community_Support.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/services/Community_Support.svg	(from https://web3.agency/community-support.html)
09:27:09	2700/2700	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-a8c%22	https://web3.agency/app/img/services/SEO.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/services/SEO.svg	(from https://web3.agency/seo-services.html)
09:27:09	8050/8050	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d74-1f72%22	https://web3.agency/app/img/services/pr.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/services/pr.svg	(from https://web3.agency/pr.html)
09:27:09	2882/2882	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d73-b42%22	https://web3.agency/app/img/services/Digital_Strategy.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/services/Digital_Strategy.svg	(from https://web3.agency/digital-strategy.html)
09:27:10	2449/2449	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d74-991%22	https://web3.agency/app/img/services/Paid_Promotion.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/services/Paid_Promotion.svg	(from https://web3.agency/paid-promotion.html)
09:27:10	3719/3719	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1d6d74-e87%22	https://web3.agency/app/img/services/Product_development.svg	C:/Users/HP%20PROBOOK%20640%20G2/Downloads/web3-agency/web3.agency/app/img/services/Product_development.svg	(from https://web3.agency/product-development.html)
